Name,正式繁中全稱,Focuses,他們可以協助你做什麼,Website,Since,HQ,Chapters (by state),💰 Donate
Formosan Association for Public Affairs,台灣人公共事務會,"政策遊說, 教育交流","友台政策倡議遊說
串聯全美地方 FAPA 分會",https://fapa.org,1982,Washington DC,"AL, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, NC, NJ, NY, OH, OK, OR, PA, TN, TX, UT, VA, WA, WI",
Global Taiwan Institute,,"分析台灣局勢, 增進台灣外交關係",專注在增進台灣與其他國家（主要是美國）的關係與對台灣的理解，定期舉行會議邀請各國專家共同來分析台灣局勢，像是中美台關係、美國對台政策等。,https://globaltaiwan.org/,,,,
US Taiwan Watch,台灣美國觀測站,,提升台美關係知識,https://www.ustw.watch,2021,,,
North American Taiwanese Professors’ Association,北美洲台灣人教授協會,"學術研究, 教育交流, 民主自由",,https://www.natpa.org,1980,,,
North American Taiwanese Medical Association,北美洲台灣人醫師協會,"健康教育, 地方社群",,natma.net,1984,,,
Taiwanese Association of American,全美台灣同鄉會,"地方社群, 民主自由",串聯全美地方同鄉會，確切的分會請參照 https://www.taa-usa.org/taa-chapters,https://www.taa-usa.org,1967,,"AZ, CO, DC, GA, IL, MA, MO, NY, OH, PA, TX, UT, WA",
North American Taiwaneses Women’s association,北美洲台灣婦女會,"兩性平權, 女性權益",,https://www.natwa.com/,1988,,,
Taiwanese American Citizen League,台美公民協會,"主張台灣人身份, 台美人參政",鼓勵更多台裔美國人參與美國政治，擴大影響力,https://tacl.org,1985,San Francisco CA,"NJ, TX",
Taiwanese American Conference / East Coast,美東夏令會,"地方社群, 年度聚會, 民主自由",,,1970,,,
Taiwanese American Conference / West Coast,美西夏令會,"地方社群, 年度聚會, 民主自由",,,1970,,,
Taiwanese American Conference / South,美南夏令會,"地方社群, 年度聚會, 民主自由",,,1970,,,
Taiwanese American Conference / Central,美中夏令會,"地方社群, 年度聚會, 民主自由",,,1970,,,
Taiwanese American Next Generation,台美人下一代,"主張台灣人身份, 年度聚會, 文化傳承",讓台美人下一代有清楚的身份認知，與更多同是台美人的同齡小孩建立聯繫一起成長。,,2003,,,
Friends of Taiwan,台灣之友會,"學術研究, 文化推廣, 社會慈善",非盈利組織， 致力提昇社會慈善、 學術研進、 誠信互勉與科學激勵之使命， 積極推廣台美間教育及文化之草根交流， 促進台美人民之健康與福祉。,https://fotstl.org/,2002,,,
Taiwan Hakka Association For Public Affairs In North America,北美台灣客家公共事務協會,"台灣國家正常化, 文化推廣, 爭取權益",,http://hapa-na.blogspot.com/,,,,
Taiwanese Presbyterian Church of Washington,華府台灣基督長老教會,"台灣教會, 文化推廣, 社會慈善",,https://www.tpcwashington.org/,,,,
World Taiwanese Congress,,,,,,,,
World united for Formosa independence,台獨聯盟,,,,,,,